,Neuron01,Neuron02,Neuron03,Neuron04,Neuron05,Neuron06,Neuron07,Neuron08,Neuron09,Neuron10,Neuron11,Neuron12,Neuron13,Neuron14,Neuron15,Neuron16,Neuron17,Neuron18,Neuron19,Neuron20
407,1.9173931,-10.36997,0.14888395,0.23438697,1.453631,1.317384,-4.300629,-2.2177336,-2.254444,-13.647179,-5.2410893,-0.18046536,-0.5635942,-0.09001475,-2.4509819,-2.2810085,0.73318225,-0.90919197,-4.4401164,-4.1609983
416,1.730953,-11.931756,-1.5443711,0.39345655,-1.7882717,-4.2727885,-5.154624,-4.026832,-4.8229337,-14.943277,-5.3281307,-2.1615398,-2.5254922,3.122404,-6.4707756,-1.456231,-2.3509498,-0.942811,-3.6225235,-1.163549
424,1.3190064,-11.892596,-3.7711275,1.8152236,-3.3443623,-7.0935516,-3.5243478,-3.4877133,-6.922799,-14.543738,-4.7677164,-2.0083005,-2.5497918,5.187317,-9.564894,-0.4917721,-4.4648304,0.13806084,-0.70255065,3.8371615
431,1.7436286,-6.1378574,-1.4961908,-1.1796075,-4.4793754,-9.725352,-3.6783507,-3.7903879,-5.014206,-14.542942,-3.50075,-5.263548,-6.8902564,1.5073397,-10.905907,0.410083,-11.780927,-5.8262424,-2.604731,-1.0959833
439,0.7132587,-9.107614,-2.2115571,-0.15466419,-3.0972774,-8.34748,-4.8956842,-4.774767,-5.230497,-14.4695635,-3.8419757,-3.906415,-4.6133547,3.1030216,-9.935053,-0.79916865,-7.8282456,-2.3659024,-1.3489746,1.4869019
446,-0.075245805,-6.733448,-1.6011695,-5.3335705,-3.607798,-10.0320425,-6.967705,-7.8673725,-2.7838514,-15.457737,-3.3152952,-7.4400973,-8.411182,-0.15109165,-8.449678,-0.9232693,-12.417299,-7.0426035,-4.3838367,-2.7561872
453,-0.017029341,-4.6763487,-1.2722124,-6.5205755,-4.3333497,-10.725958,-6.8303657,-7.7749004,-2.3156292,-14.904124,-3.0409863,-8.518416,-8.749316,-0.9324463,-8.732304,-0.5325011,-13.370679,-8.555451,-4.380333,-2.9791882
461,0.58204657,-2.306835,-1.0026784,-7.477658,-5.0360584,-10.031501,-8.177511,-8.489822,-1.9073411,-14.383264,-2.0899937,-8.457697,-9.448704,-1.785138,-9.059946,-0.062107008,-14.657742,-9.993557,-4.2018094,-4.2114706
468,0.6777774,0.23319611,0.80630976,-5.239563,-3.144578,-8.776269,-8.101899,-7.334846,-1.5552646,-10.066389,-0.4952348,-7.2363443,-7.873018,-2.0279768,-10.539338,-0.8352549,-13.776919,-8.912023,-2.4927907,-5.065672
475,0.07788891,-0.57281893,0.3028334,-5.467154,-2.1498713,-11.266235,-5.539239,-5.091742,-1.9314771,-9.195731,-1.0259625,-8.826403,-7.948755,-2.0908988,-11.268742,-1.9331106,-11.196014,-3.6593244,-1.0083411,-3.3639238
483,0.5864188,-2.4726694,-1.001068,-7.7697353,-6.22598,-11.361097,-9.721573,-12.4709015,-1.1387745,-13.314109,-2.1124055,-9.337374,-9.290624,-2.473124,-9.968954,-1.1797906,-14.526805,-10.460322,-4.00527,-4.567908
490,-0.2819449,-1.4126385,-0.7691762,-4.4190893,-2.3243618,-12.175811,-6.8240905,-6.3507032,-2.3103244,-8.949216,-0.99597,-8.956747,-7.3348217,-3.3795104,-12.09614,-2.815333,-8.826419,-0.6370638,0.8018396,-2.458726
497,0.38266197,-1.3872114,0.41166562,-7.203775,-4.911174,-10.100497,-9.772685,-13.619282,-0.25548154,-10.512493,-0.31509688,-8.025757,-7.6972275,-0.98914754,-9.89115,-1.1474336,-13.857205,-9.167253,-2.4944525,-3.6427958
505,-0.9216962,-2.387153,-0.86981344,-6.339538,-3.6924741,-11.690914,-9.005115,-11.896331,-0.8239341,-8.468464,-1.0367447,-8.378877,-6.667111,-0.9843209,-11.059957,-1.8517816,-11.011819,-2.6584773,-0.05456379,-1.6298398
512,-0.5366799,-2.4444098,-0.34325397,-8.465745,-7.6600714,-10.436692,-10.994062,-15.238039,0.33410767,-10.484704,-0.8625239,-7.416867,-7.4133677,-0.77101904,-9.39742,-0.35180432,-14.66352,-8.911663,-3.3075175,-3.0138218
520,-1.7637289,-2.4446278,-1.9610308,-6.320656,-6.0132895,-11.513935,-10.147065,-12.924595,-0.4098353,-7.7199535,-1.4726355,-7.6203012,-5.3540854,-0.870317,-10.650715,-0.5869523,-11.691752,-3.814387,-1.3765618,-1.2355856
527,-1.7151898,-2.3756647,-1.855292,-7.8403316,-5.865415,-12.927134,-10.371012,-10.795913,-0.50741327,-5.213615,-1.0317258,-9.480591,-5.5256424,-2.1242666,-9.546163,-0.3406036,-10.880786,-3.7636228,-1.1908016,-0.034495983
