,Comp01,Comp02,Comp03,Comp04
Neuron01,-1.073908,-1.2791699,2.6894236,1.1920726
Neuron02,0.59002924,3.1160736,-0.21064802,-1.7772464
Neuron03,3.0266593,1.7489614,1.0060526,-1.5527648
Neuron04,0.017473657,-2.0863483,5.0426693,-2.3229613
Neuron05,2.8940794,-1.1888368,1.0546795,0.12829173
Neuron06,0.7282707,0.9951698,5.284201,-0.17713729
Neuron07,0.07099703,2.242797,0.85364634,1.9782896
Neuron08,3.6802585,3.3611298,-0.09487207,3.1806297
Neuron09,1.2259405,1.0590723,-0.75545585,0.270537
Neuron10,5.7747273,3.4832146,-1.8245921,0.65345454
Neuron11,-1.0378504,1.121802,-0.81858927,-0.17771398
Neuron12,-0.48649913,0.30884415,3.9608233,-1.3413507
Neuron13,1.3066753,-1.0282818,4.674305,2.3713453
Neuron14,-2.4140093,2.4748373,2.225298,2.6875143
Neuron15,1.1751043,1.9204935,-0.1393697,1.3594636
Neuron16,-1.6669255,1.6553476,2.224631,0.7452947
Neuron17,4.451077,-3.0996535,2.9880512,1.0212619
Neuron18,3.0717292,-1.1351341,-0.031353075,4.459658
Neuron19,-1.0398325,0.573096,-1.5160156,2.2534301
Neuron20,-1.108163,0.25787824,0.72473764,2.0712652
