,Neuron01,Neuron02,Neuron03,Neuron04,Neuron05,Neuron06,Neuron07,Neuron08,Neuron09,Neuron10,Neuron11,Neuron12,Neuron13,Neuron14,Neuron15,Neuron16,Neuron17,Neuron18,Neuron19,Neuron20,Neuron21,Neuron22,Neuron23,Neuron24,Neuron25,Neuron26,Neuron27,Neuron28,Neuron29,Neuron30
407,1.3200294,-2.3852,-8.293623,2.4543545,-0.73541707,0.6446224,1.7759713,-1.2818059,-1.0245538,-6.078668,-3.0132608,-3.5821152,-1.944478,-0.9128748,-12.066136,3.015553,-2.3497002,-5.9195666,-1.9446595,0.42777792,-2.3226364,0.30359042,-2.968157,-1.3653746,-1.3911636,-2.2136724,-2.611076,-1.5159305,-3.4290564,0.24987127
416,-4.298306,-1.7652544,-7.9863744,1.0212628,0.44138232,1.7659663,2.307521,-1.6723261,-1.5179,-7.667432,-0.9021953,-3.9322405,-0.91956466,0.5193637,-13.324343,1.7719473,-2.3454385,-10.36469,-3.781187,-3.4749103,-8.516397,-0.79123485,-2.9288974,-3.5068126,-4.275802,-0.45770866,-3.588361,-1.4265513,-2.749515,-7.366142
424,-7.7493305,1.5982429,-5.6058784,-0.2333147,2.274453,2.4623203,4.141251,2.3538003,-4.354961,-7.4984756,2.707841,-1.2741041,2.4552696,3.1392667,-12.206253,-0.050332054,1.8857198,-12.749765,-5.3685546,-4.9254746,-12.052069,-2.182563,-3.7527142,-3.380453,-5.8713536,1.4246323,-5.730818,-2.3554726,-1.1056118,-14.50354
431,-13.146252,2.1481745,-5.7935057,-2.8853405,-0.6489584,-0.26556164,2.576317,-4.4904733,-1.4607542,-10.081724,1.8886245,-0.65101814,0.53433645,1.5357916,-11.355082,-5.25977,-0.52710474,-13.568719,-5.2081966,-6.696661,-12.685449,-3.7670255,-4.57988,-6.451383,-7.9191713,1.4131936,-3.2773995,-2.2084377,-3.8081415,-14.669689
439,-9.900013,1.0576699,-4.4025598,-1.0901878,0.43858227,0.062091473,3.0288658,-1.5775684,-3.71972,-9.294595,0.6415921,-0.03567273,0.6771993,2.2557352,-9.365561,-2.0704043,0.5206728,-11.415563,-5.9009805,-5.9517713,-12.466472,-3.6243718,-4.8623843,-4.424445,-7.471494,0.5033762,-4.907035,-2.013402,-2.1000192,-10.457086
446,-13.487678,0.36962086,-6.197703,-4.439927,-3.626077,-1.7584953,0.26984453,-10.582884,-1.5451242,-12.852104,-4.5093637,-0.8204147,-2.9186006,-1.7584814,-8.6965685,-5.2161593,-4.044762,-11.802895,-5.3746815,-8.636464,-13.76957,-4.929548,-5.4475875,-6.756566,-8.838865,0.20661992,-1.9580309,-1.6905891,-4.78385,-9.064688
453,-14.590718,1.0534759,-5.658355,-4.5512185,-4.665928,-2.1343737,-0.11501128,-11.068702,-1.2095095,-14.082053,-5.251103,-0.2987454,-3.0538092,-2.8620327,-7.6917415,-6.629298,-4.021394,-11.495257,-5.441362,-9.154488,-14.763187,-4.9489083,-5.8286343,-7.6058536,-9.3145485,-0.019493435,-1.0583789,-1.5469494,-4.608547,-9.037853
461,-15.196118,1.5700382,-4.9129477,-4.909194,-5.004552,-2.7258008,-0.107078925,-12.2588625,-0.7995418,-14.698723,-9.171162,0.8570982,-2.9984453,-3.4588363,-6.4286447,-8.119115,-3.5984008,-10.624881,-6.199892,-8.076784,-13.687387,-4.6204047,-7.8686485,-7.132929,-9.7115555,0.07297022,0.34394476,-2.6109068,-4.7718596,-7.091838
468,-14.690424,2.1973484,-2.6896613,-4.2069306,-3.0888839,-2.7082489,-0.442453,-11.539141,0.22777088,-13.885875,-7.01276,1.4689436,-3.2875326,-2.3643346,-4.0020194,-6.8611307,-3.166003,-8.696708,-7.0871162,-4.7616243,-11.929274,-5.4693627,-7.108318,-6.674885,-8.714878,-0.6408649,0.7468275,-2.1133232,-3.910167,-3.7025993
475,-13.792315,1.141672,-1.6656815,-3.5850894,-3.2877934,-2.1116478,-0.67612755,-9.559697,-0.9045273,-13.533424,-5.398711,0.9987443,-3.9752414,-2.3025703,-3.3780656,-4.914711,-3.607814,-7.1703467,-6.46223,-6.5468082,-12.514551,-4.6170197,-6.5955777,-7.2585516,-8.078242,-1.039583,-0.98755944,-1.3020904,-2.4637182,-3.4576335
