,Neuron01,Neuron02,Neuron03,Neuron04,Neuron05,Neuron06,Neuron07,Neuron08,Neuron09,Neuron10,Neuron11,Neuron12,Neuron13,Neuron14,Neuron15,Neuron16,Neuron17,Neuron18,Neuron19,Neuron20,Neuron21,Neuron22,Neuron23,Neuron24,Neuron25,Neuron26,Neuron27,Neuron28,Neuron29,Neuron30,Neuron31,Neuron32,Neuron33,Neuron34,Neuron35,Neuron36,Neuron37,Neuron38,Neuron39,Neuron40
407,0.10684263,4.839804,-3.5859962,-0.08745958,6.2895026,-0.897727,2.0389104,4.9512916,-0.10807823,-5.343181,-6.333625,-5.6028194,-0.4963122,-6.2263947,-0.7756548,-0.69270456,-5.921677,-0.26629177,-1.8567787,-4.788349,-0.9696669,-5.038549,2.9896028,0.7062114,-1.2601649,-7.4523125,-1.7554094,-2.6081772,-1.4584615,-3.7129493,-0.22418705,-10.85137,-0.6801172,-0.82059187,-0.5566863,-3.8427725,-6.8206143,1.4625105,-3.2399678,0.7520324
416,-1.9560763,2.684068,-6.2892294,-4.752583,3.639551,-2.907754,-0.59530646,4.327996,-1.2307419,-5.424963,-9.83231,-9.462846,0.73264724,-5.6565104,-1.0629944,-7.0100226,-4.5399504,-2.461064,-3.0737205,-9.74773,-1.9821484,-4.8503466,3.3947337,-2.7340016,-0.9381288,-3.0425837,-7.1855135,-3.039579,-2.068993,-4.229314,-3.3915434,-7.827652,-4.5618973,1.5087682,-2.5715246,-2.9552016,-5.516581,-0.1577127,-6.6971827,-1.9932892
424,-6.667876,-0.23929079,-7.7098465,-8.279457,0.25197175,-3.3985057,-3.1457775,2.64053,-1.424011,-4.218808,-10.036162,-12.099696,3.6546545,-6.9343896,0.61402863,-12.71486,-3.5070858,-2.3634655,-5.5945177,-12.349799,-0.16515397,-1.7616279,3.6745775,-5.1584325,1.8590544,2.6080775,-11.647019,-3.0841467,-0.4516954,-5.623291,-7.0668597,-4.4774127,-4.58623,3.1027758,-3.109221,-3.3607817,-3.0159147,-1.754242,-8.586612,-4.851229
431,-2.9010653,-5.35528,-6.8622255,-10.494754,-4.1872044,-6.1716905,-9.228316,1.6551768,-3.9307659,-0.7680523,-10.261242,-12.230178,0.47186393,-5.4215026,-1.2800721,-13.556853,-4.3227797,-5.249614,-6.6364293,-8.304255,-1.1609432,-2.1594462,2.4747407,-8.041215,-1.283941,0.28249553,-12.701199,-4.4334435,-2.9618683,-5.802212,-7.643757,-1.7521992,-5.4231863,0.95953727,-5.292967,-3.8431737,-5.453824,-6.5384026,-9.407616,-6.4403954
439,-5.3581915,-2.36436,-5.2192984,-8.495391,-1.5854758,-6.143295,-7.3502746,1.4628639,-2.437438,-2.67525,-5.7423673,-9.794548,0.027424758,-7.6062117,-0.25420126,-10.944568,-4.5046597,-3.9790685,-6.3880863,-6.6482606,-0.8169895,-1.6650465,2.3490055,-7.033177,-0.062254548,-0.7705331,-6.2330494,-3.2302673,-1.4055274,-6.3871956,-7.598938,-3.8687825,-1.3669187,1.1822138,-1.3898222,-4.4319477,-4.8136015,-5.4928126,-8.474334,-4.658871
446,-1.3840121,-4.965588,-5.7741127,-9.832827,-3.4567611,-9.348037,-10.370421,1.4028984,-5.3670363,-1.1972721,-6.6279674,-9.158024,-3.2226274,-6.8326836,-3.525133,-11.508296,-4.588443,-7.260773,-6.0357323,-3.487541,-3.9413342,-4.4011393,0.9532663,-9.175877,-3.3055224,-4.4024167,-5.917175,-4.459663,-5.069838,-5.6929502,-7.7877946,-3.283302,-3.071315,-1.4588633,-3.518877,-4.1634555,-6.466594,-8.446038,-9.827127,-5.2552147
453,-0.6235394,-6.2357855,-5.5564103,-10.135612,-4.1241045,-9.439326,-10.6332445,0.8459775,-6.102434,-0.6370216,-6.7344666,-8.986956,-3.3157382,-6.270448,-4.0092964,-12.187122,-4.2702966,-7.6157985,-5.8458123,-2.9190812,-4.0636573,-4.078755,0.6715243,-9.944219,-4.16857,-3.918689,-6.3053594,-4.6094375,-6.4029336,-5.775484,-7.7063046,-2.0828989,-2.9095392,-2.5472202,-3.8707182,-4.2163124,-6.1239815,-8.7569895,-10.275521,-5.577583
461,0.47251865,-6.681573,-4.5155125,-10.219787,-4.981861,-9.61341,-10.909742,-0.07511581,-5.013573,0.2835021,-6.9166737,-7.677089,-4.0302353,-4.908394,-3.1391482,-11.395176,-4.7622266,-7.4838014,-5.825435,-1.2100807,-3.539822,-3.7203066,0.26126823,-9.699107,-4.9985456,-4.7881083,-5.442857,-5.127703,-6.697958,-6.1621237,-6.4171877,-0.9745185,-2.6924086,-4.8055673,-4.089242,-4.5371695,-7.4593897,-9.0348425,-10.065047,-5.874298
468,1.2712373,-6.205593,-2.8554256,-9.526076,-5.9841404,-8.19603,-9.458407,-2.0694575,-3.102742,1.3134843,-6.2066236,-5.072482,-4.125999,-2.0816293,-2.1023643,-10.135772,-4.121812,-5.0109086,-4.2965817,-0.26919895,-3.1836042,-2.816464,-0.6047522,-8.2061825,-4.2541685,-3.773789,-4.254085,-3.7074778,-4.628812,-4.885926,-4.6990633,0.6142563,-1.8962088,-4.6580763,-3.3007846,-2.9250333,-6.535106,-7.5806923,-8.355146,-4.8410296
475,-0.69943464,-5.2512536,-2.7507439,-9.146192,-4.8534775,-8.48099,-9.700375,-1.9337195,-3.3998299,-0.16658896,-4.775859,-5.219729,-4.4714427,-3.525425,-1.9473445,-9.5742,-3.7954237,-6.2830253,-4.2177973,-1.1340209,-3.5131154,-2.424002,-0.4279963,-10.279311,-3.9599197,-2.6653903,-2.885423,-3.0647352,-5.689063,-5.020996,-5.2806883,-0.09536516,-0.9779567,-4.3516846,-2.1227362,-3.0484607,-4.9874315,-7.7853036,-8.799087,-3.9578464
