,Comp01,Comp02,Comp03,Comp04,Comp05,Comp06,Comp07,Comp08,Comp09,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20
Neuron01,0.2273636,0.15686157,0.81593883,-0.7810774,-0.23630202,1.291748,-0.40090933,-0.11978107,0.5486969,0.8231059,1.4133837,0.14717293,-0.08448041,1.1172705,-0.11593786,-0.79022795,2.0121148,-0.17222698,-0.46344572,0.011306632
Neuron02,1.3454384,-0.96278214,1.3167077,-0.31019557,-0.4972968,-0.4111215,2.0990686,2.2253022,-0.84237224,0.6571706,-0.8443322,-0.82066035,-0.05399557,-0.97041017,0.095003694,-0.0085227,-0.61216176,1.7979742,-1.0026611,-1.3914517
Neuron03,0.34110826,-0.4378773,0.30864,-0.6014633,0.21763434,0.52302414,-0.5538332,0.38682142,1.0457666,0.7416992,-0.44558382,0.59002966,-0.45762378,-0.5328494,1.2450274,-1.0087078,-0.1387842,0.33012503,-0.37885964,0.4830024
Neuron04,0.8407368,0.15948269,0.8424896,-0.45734915,0.1888392,-1.5947039,2.8346329,0.5335661,-0.542566,-1.2016859,0.90349287,-1.200514,0.02471237,0.531807,1.841412,-0.24261071,0.3282144,0.68475956,0.46780518,0.8687386
Neuron05,1.0709617,-1.3007967,1.0662214,-0.6899875,-0.7967087,-1.2084931,2.6302514,0.7520778,-2.5690637,-1.1326294,1.9699905,-2.6823165,0.26607764,1.0882537,-0.70586693,0.9530872,-0.10565759,1.3137121,-0.30521896,-1.6984278
Neuron06,0.7268939,-0.25877973,2.175334,0.3363642,-0.4423547,-0.8592353,2.1904163,1.618866,-0.5541794,0.38989872,2.1188583,-0.41891825,1.3986013,0.30505463,1.1417121,-0.8364918,0.34444755,1.0409423,-0.61311895,-0.77783936
Neuron07,-0.4032261,0.059466667,1.2079651,0.31310716,0.0031181166,-2.6619358,4.3435426,1.5919733,-1.3031244,-1.1365236,-0.30891198,-0.65670717,0.009148352,-0.56982523,-0.9819156,0.7136414,-1.2581037,1.8279192,0.18898804,-0.8846487
Neuron08,0.60690004,-0.039877497,0.0120933065,-1.2371556,0.07192372,-0.94217765,-0.5799052,-0.2216242,-1.081654,-1.2361169,1.1038734,-1.6583222,0.6589344,0.92686707,-2.376493,2.7401605,0.8017656,0.39011574,-0.53819627,-0.8400091
Neuron09,0.24415813,-0.6443018,0.53897077,-1.5810115,-0.12651214,0.05013448,0.6811324,0.7648208,0.004249009,-0.40592644,0.6284462,-0.0044310903,-0.43576136,0.47028112,-0.5319209,3.3031056,1.0964857,0.34268147,-0.9119419,-0.3154868
Neuron10,0.6850919,0.28958887,-1.709897,-0.47520754,1.1696372,0.42694753,-1.4651719,-0.282705,1.1232398,0.023052733,0.9893864,0.76873326,0.5217535,1.1284218,-0.65133214,-0.29473817,1.1059346,-0.23523432,0.40012684,0.32398653
Neuron11,-0.15982403,-0.3199809,0.19518122,0.20534119,0.61828303,-0.77419436,0.570372,0.7088407,1.6048895,-0.44679427,-1.5795254,1.656012,0.09414642,-0.61550194,3.3335469,-0.60754174,-1.5842482,-0.050990153,0.03895903,1.4198668
Neuron12,0.59132946,-0.15375638,0.5234839,0.073283315,0.25976148,0.98470116,1.0863814,0.88208497,0.01608809,0.6535338,-0.09136048,0.8739673,-0.40576863,-0.77345294,2.5985477,-0.16910243,-0.20633002,-0.29145038,0.34785727,1.0558243
