,Comp01,Comp02,Comp03,Comp04
407,0.791867,0.053376,0.010798,0.063722
416,0.844404,0.048981,1e-05,0.059327
424,0.856977,0.046281,1e-05,0.041062
431,0.901305,0.033478,1e-05,0.022339
439,0.806073,0.037781,1e-05,0.017151
446,0.826886,0.044007,1e-05,0.021439
453,0.86038,0.03859,1e-05,0.022843
461,0.884047,0.033814,1e-05,0.023072
468,0.884047,0.024643,1e-05,0.026658
475,0.584894,0.02826,1e-05,0.024826
483,0.584894,0.028534,1e-05,0.026078
490,0.584894,0.026352,1e-05,0.023224
497,0.584894,0.024811,1e-05,0.024445
505,0.584894,0.030625,1e-05,0.027405
512,0.584894,0.030152,1e-05,0.031968
520,0.584894,0.036011,1e-05,0.035645
527,0.584894,0.045487,1e-05,0.041413
535,0.584894,0.060121,1e-05,0.046616
543,0.584894,0.067674,1e-05,0.050492
551,0.584894,0.071351,1e-05,0.053407
559,0.584894,0.069947,1e-05,0.053315
567,0.584894,0.062409,1e-05,0.052369
575,0.584894,0.057908,1e-05,0.054261
584,0.584894,0.054337,1e-05,0.053788
592,0.584894,0.048707,1e-05,0.056764
601,1e-05,0.048966,1e-05,0.061097
610,1e-05,0.048554,1e-05,0.05745
619,1e-05,0.046098,1e-05,0.054902
628,1e-05,0.047211,1e-05,0.058228
637,1e-05,0.046189,1e-05,0.059373
646,1e-05,0.045792,1e-05,0.05687
655,1e-05,0.041657,1e-05,0.057588
665,1e-05,0.041047,1e-05,0.055985
674,1e-05,0.042435,1e-05,0.052903
684,1e-05,0.049928,1e-05,0.057557
694,0.00072,0.071138,0.00043,0.07512
704,0.00083000003,0.127733,0.0012299999,0.1084
714,0.00152,0.217319,0.0017599999,0.133577
724,0.0021600001,0.355917,0.0021055,0.17499
734,0.0024500003,0.505089,0.000591,0.255909
744,0.0032900004,0.622019,0.000154,0.254017
754,0.0037800004,0.697246,5.9e-05,0.235325
765,0.0041700006,0.703548,0.001087,0.251652
775,0.0043900004,0.778576,0.000875,0.278233
786,0.0050500003,0.74641,0.000237,0.262745
796,0.0052400003,0.749416,0.000154,0.272023
807,0.0053800005,0.778592,0.000248,0.270924
817,0.0062100003,0.773251,0.00026,0.289754
828,0.0066600004,0.785107,0.000319,0.320943
839,0.0071400004,0.787442,0.000532,0.316274
849,0.0071500004,0.773236,0.000308,0.292027
860,0.0073100002,0.758587,0.000319,0.278996
871,0.00787,0.755947,0.000272,0.270695
881,0.00854,0.77908,0.000284,0.271809
892,0.00896,0.79733,0.000154,0.259678
903,0.00917,0.794568,0.0014635,0.279484
913,0.009930001,0.784054,0.000993,0.309682
924,0.298222,0.841504,0.000438,0.288319
934,0.584894,0.846342,0.00039,0.237171
945,0.634394,0.798886,0.001242,0.495308
956,0.634394,0.729137,0.003465,0.623438
967,0.635244,0.661601,0.002838,0.445884
977,0.635354,0.648142,0.000509,0.363684
979,0.636094,0.697093,0.000589,0.980774
989,0.63621396,0.67184,0.001002,0.977111
999,0.63659394,0.665675,0.000595,0.920363
