,Comp01,Comp02,Comp03,Comp04,Comp05,Comp06,Comp07,Comp08,Comp09,Comp10
407,0.791867,0.053376,0.010798,0.063722,0.217411,0.113054,0.13608,0.172396,0.039078,0.050324
416,0.844404,0.048981,1e-05,0.059327,0.196139,0.094362,0.191546,0.158495,0.027131,0.037095
424,0.856977,0.046281,1e-05,0.041062,0.197559,0.081224,0.141924,0.160708,0.023819,0.038132
431,0.901305,0.033478,1e-05,0.022339,0.192782,0.083558,0.012375,0.15288,0.017639,0.031266
439,0.806073,0.037781,1e-05,0.017151,0.192187,0.086152,0.00322,0.152377,0.021622,0.036072
446,0.826886,0.044007,1e-05,0.021439,0.192584,0.0925,0.005325,0.157488,0.019715,0.03389
453,0.86038,0.03859,1e-05,0.022843,0.189014,0.097642,0.007553,0.152163,0.016495,0.032059
461,0.884047,0.033814,1e-05,0.023072,0.187701,0.102647,0.010803,0.148806,0.012024,0.030869
468,0.884047,0.024643,1e-05,0.026658,0.18793,0.101015,0.004883,0.142229,0.01297,0.030961
475,0.584894,0.02826,1e-05,0.024826,0.190829,0.104433,0.006714,0.146899,0.013443,0.035706
483,0.584894,0.028534,1e-05,0.026078,0.185611,0.107073,0.006577,0.145525,0.009689,0.03798
490,0.584894,0.026352,1e-05,0.023224,0.192737,0.10515,0.007309,0.146441,0.012558,0.043
497,0.584894,0.024811,1e-05,0.024445,0.186404,0.109422,0.010376,0.143099,0.011246,0.039948
505,0.584894,0.030625,1e-05,0.027405,0.193759,0.10927,0.009766,0.148348,0.012787,0.047272
512,0.584894,0.030152,1e-05,0.031968,0.188067,0.119112,0.018814,0.144839,0.010193,0.048157
520,0.584894,0.036011,1e-05,0.035645,0.190402,0.117327,0.016358,0.147173,0.016571,0.053391
527,0.584894,0.045487,1e-05,0.041413,0.196475,0.127016,0.025452,0.155642,0.023499,0.060822
535,0.584894,0.060121,1e-05,0.046616,0.204685,0.137545,0.034363,0.166552,0.030625,0.066926
543,0.584894,0.067674,1e-05,0.050492,0.204761,0.143618,0.037583,0.170565,0.041047,0.068009
551,0.584894,0.071351,1e-05,0.053407,0.207248,0.152758,0.040162,0.172396,0.03978,0.061891
559,0.584894,0.069947,1e-05,0.053315,0.201373,0.155077,0.043153,0.170459,0.03801,0.052033
567,0.584894,0.062409,1e-05,0.052369,0.198886,0.158846,0.036545,0.166735,0.034333,0.043397
575,0.584894,0.057908,1e-05,0.054261,0.199771,0.166171,0.034638,0.166171,0.029953,0.033982
584,0.584894,0.054337,1e-05,0.053788,0.198032,0.165667,0.028595,0.163836,0.028046,0.026001
592,0.584894,0.048707,1e-05,0.056764,0.193133,0.158328,0.030014,0.160388,0.024903,0.020813
601,1e-05,0.048966,1e-05,0.061097,0.196551,0.164477,0.033906,0.162509,0.024445,0.017853
610,1e-05,0.048554,1e-05,0.05745,0.198215,0.162188,0.033021,0.161624,0.022736,0.016297
619,1e-05,0.046098,1e-05,0.054902,0.198871,0.159808,0.036622,0.161608,0.021118,0.014298
628,1e-05,0.047211,1e-05,0.058228,0.198062,0.167926,0.032517,0.165209,0.020233,0.014115
637,1e-05,0.046189,1e-05,0.059373,0.197467,0.18468,0.038514,0.16376,0.018967,0.014679
646,1e-05,0.045792,1e-05,0.05687,0.194842,0.205234,0.039216,0.162844,0.018372,0.012543
655,1e-05,0.041657,1e-05,0.057588,0.191257,0.234165,0.036393,0.160464,0.016281,0.013169
665,1e-05,0.041047,1e-05,0.055985,0.194614,0.290028,0.040513,0.162112,0.013779,0.014237
674,1e-05,0.042435,1e-05,0.052903,0.090013,0.164477,0.040955,0.162753,0.012009,0.01648
684,1e-05,0.049928,1e-05,0.057557,0.182223,0.402441,0.047761,0.170214,0.013977,0.019242
694,0.00072,0.071138,0.00043,0.07512,0.205783,0.464012,0.069993,0.185275,0.029709,0.025528
