,Comp01,Comp02,Comp03,Comp04,Comp05,Comp06,Comp07,Comp08,Comp09,Comp10,Comp11,Comp12,Comp13,Comp14,Comp15,Comp16,Comp17,Comp18,Comp19,Comp20
407,0.791867,0.053376,0.010798,0.063722,0.217411,0.113054,0.13608,0.172396,0.039078,0.050324,0.056031,1e-05,0.009822,0.000595,0.303359,0.043448,0.107805,0.027268,1e-05,0.018682
416,0.844404,0.048981,1e-05,0.059327,0.196139,0.094362,0.191546,0.158495,0.027131,0.037095,0.045243,1e-05,0.073383,0.000351,0.335871,0.0305,0.117968,0.016587,0.133516,0.008001
424,0.856977,0.046281,1e-05,0.041062,0.197559,0.081224,0.141924,0.160708,0.023819,0.038132,0.039155,6e-05,0.040493,0.00087,0.375648,0.030105,0.100526,0.008225,0.142849,0.006654
431,0.901305,0.033478,1e-05,0.022339,0.192782,0.083558,0.012375,0.15288,0.017639,0.031266,0.042603,0.002759,0.021167,0.011368,0.018146,0.039937,0.090883,1e-05,0.152002,0.01391
439,0.806073,0.037781,1e-05,0.017151,0.192187,0.086152,0.00322,0.152377,0.021622,0.036072,0.045151,0.004614,0.015057,0.011154,0.020479,0.03556,0.097536,4.6e-05,0.150238,0.007465
446,0.826886,0.044007,1e-05,0.021439,0.192584,0.0925,0.005325,0.157488,0.019715,0.03389,0.05008,0.002654,0.01468,0.011002,0.022221,0.037916,0.106188,0.002121,0.145714,0.0094
453,0.86038,0.03859,1e-05,0.022843,0.189014,0.097642,0.007553,0.152163,0.016495,0.032059,0.051575,0.004192,0.015208,0.008652,0.018958,0.036563,0.102388,1e-05,0.15173,0.016812
461,0.884047,0.033814,1e-05,0.023072,0.187701,0.102647,0.010803,0.148806,0.012024,0.030869,0.053254,0.003694,0.01385,0.016556,0.026281,0.037901,0.102571,1e-05,0.154068,0.014237
468,0.884047,0.024643,1e-05,0.026658,0.18793,0.101015,0.004883,0.142229,0.01297,0.030961,0.05095,0.007509,0.011798,0.011521,0.020671,0.039512,0.100069,1e-05,0.152168,0.011687
475,0.584894,0.02826,1e-05,0.024826,0.190829,0.104433,0.006714,0.146899,0.013443,0.035706,0.052155,0.007645,0.010501,0.010391,0.020996,0.038661,0.102174,1e-05,0.157792,0.011831
